date;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;pH;sulphates;density;wine type;alcohol;quality;store type;country
01-01-2022;7.8;0.76;0.04;2.3;0.092;15;54;3.26;0.65;;red;9.8;medium;bar;EE.UU.
01-01-2022;7.8;0.88;0;2.6;0.098;25;67;3.2;0.68;0.9968;white;9.8;medium;bar;EE.UU.
01-01-2022;7.4;0.7;0;1.9;0.076;11;34;3.51;0.56;0.9978;red;9.4;medium;store;EE.UU.
01-01-2022;11.2;0.28;0.56;1.9;0.075;17;60;3.16;0.58;;red;9.8;medium;store;EE.UU.
02-01-2022;7.4;0.7;0;1.9;0.076;11;34;3.51;0.56;;red;9.4;medium;restaurant;EE.UU.
02-01-2022;7.4;0.66;0;1.8;0.075;13;40;3.51;0.56;;red;9.4;medium;bar;EE.UU.
03-01-2022;7.9;0.6;0.06;1.6;0.069;15;59;3.3;0.46;;white;9.4;medium;restaurant;EE.UU.
03-01-2022;7.3;0.65;0;1.2;0.065;15;21;3.39;0.47;;white;10;high;restaurant;EE.UU.
03-01-2022;7.5;;0.36;6.1;0.071;17;102;3.35;0.8;;red;10.5;medium;restaurant;EE.UU.
03-01-2022;7.8;0.58;0.02;2;0.073;9;18;3.36;0.57;0.9968;white;9.5;high;store;EE.UU.
04-01-2022;6.7;0.58;0.08;1.8;0.097;15;65;3.28;0.54;;red;9.2;medium;store;EE.UU.
05-01-2022;5.6;0.615;0;1.6;0.089;16;59;3.58;0.52;;white;9.9;medium;store;EE.UU.
05-01-2022;7.5;0.5;0.36;6.1;0.071;17;102;3.35;0.8;;red;10.5;medium;store;EE.UU.
06-01-2022;8.9;0.62;0.18;3.8;0.176;52;145;3.16;0.88;;white;9.2;medium;bar;EE.UU.
06-01-2022;8.9;0.62;0.19;3.9;0.17;51;148;3.17;0.93;0.9986;white;9.2;medium;store;EE.UU.
06-01-2022;8.5;0.28;0.56;1.8;0.092;35;103;3.3;0.75;;white;10.5;high;bar;EE.UU.
06-01-2022;7.8;0.61;0.29;1.6;0.114;9;29;3.26;1.56;;red;9.1;medium;restaurant;EE.UU.
07-01-2022;8.1;0.56;0.28;1.7;0.368;16;56;3.11;1.28;;white;9.3;medium;restaurant;EE.UU.
07-01-2022;8.9;0.22;0.48;1.8;0.077;29;60;3.39;0.53;0.9968;white;9.4;medium;store;EE.UU.
07-01-2022;7.4;0.59;0.08;4.4;0.086;6;29;3.38;0.5;0.9974;red;9;low;restaurant;EE.UU.
07-01-2022;7.6;0.39;0.31;2.3;0.082;23;71;3.52;0.65;;white;9.7;medium;restaurant;EE.UU.
07-01-2022;7.9;0.32;0.51;1.8;0.341;17;56;3.04;1.08;;white;9.2;medium;bar;EE.UU.
08-01-2022;6.9;0.4;0.14;2.4;0.085;21;40;3.43;0.63;0.9968;white;9.7;medium;store;EE.UU.
08-01-2022;6.3;0.39;0.16;1.4;0.08;11;23;3.34;0.56;;red;9.3;medium;restaurant;EE.UU.
08-01-2022;7.9;;0.21;1.6;0.106;10;37;3.17;0.91;;white;9.5;medium;bar;EE.UU.
08-01-2022;8.5;0.49;0.11;2.3;0.084;9;67;3.17;0.53;0.9968;white;9.4;medium;restaurant;EE.UU.
09-01-2022;7.9;0.43;0.21;1.6;0.106;10;37;3.17;0.91;;white;9.5;medium;restaurant;EE.UU.
09-01-2022;7.6;0.41;0.24;1.8;0.08;4;11;3.28;0.59;0.9962;white;9.5;medium;bar;EE.UU.
09-01-2022;7.1;0.71;0;1.9;0.08;14;35;3.47;0.55;;white;9.4;medium;restaurant;EE.UU.
10-01-2022;7.8;0.645;0;2;0.082;8;16;3.38;0.59;0.9964;red;9.8;medium;store;EE.UU.
10-01-2022;6.7;0.675;0.07;2.4;0.089;17;82;3.35;0.54;;red;10.1;medium;bar;EE.UU.
11-01-2022;5.2;0.32;0.25;1.8;0.103;13;50;3.38;0.55;0.9957;red;9.2;medium;bar;EE.UU.
11-01-2022;7.8;0.6;0.14;2.4;0.086;3;15;3.42;0.6;0.9975;red;10.8;medium;bar;EE.UU.
